cycle,state,candidate_name,poll_pct,result_pct,bias,party,Electors
2004,Wisconsin,George W. Bush,48.181068,49.31987145842503,1.1388034584250235,REP,10
2008,Missouri,Barack Obama,47.391371,49.292647865705135,1.9012768657051353,DEM,10
2020,Georgia,Donald Trump,47.36694,49.237474,1.8705339999999997,REP,16
2004,Iowa,John Kerry,46.318087,49.23313168421695,2.9150446842169515,DEM,6
2012,Florida,Mitt Romney,49.214575,49.13097776197552,-0.08359723802448116,REP,29
2020,Arizona,Donald Trump,46.10181,49.055981,2.9541710000000023,REP,11
2004,New Mexico,John Kerry,44.962775,49.0466796420487,4.083904642048701,DEM,5
2016,Florida,Donald Trump,45.51947,49.021941416590735,3.502471416590737,REP,29
2008,Indiana,John McCain,48.00516,48.91390717884854,0.9087471788485431,REP,11
2004,New Hampshire,George W. Bush,46.463353,48.87390112403318,2.410548124033184,REP,4
2020,Pennsylvania,Donald Trump,45.55034,48.843612,3.2932720000000018,REP,20
2020,Wisconsin,Donald Trump,43.70826,48.822437,5.114176999999998,REP,10
2004,Ohio,John Kerry,47.994305,48.70668524315362,0.7123802431536248,DEM,18
2016,Arizona,Donald Trump,45.63128,48.67042485158719,3.0391448515871957,REP,11
2020,North Carolina,Joseph R. Biden Jr.,48.90359,48.586194,-0.3173960000000022,DEM,15
2004,Pennsylvania,George W. Bush,47.389234,48.4236661530542,1.0344321530541976,REP,20
2012,North Carolina,Barack Obama,46.587825,48.35096857706756,1.7631435770675594,DEM,15
2016,New Mexico,Hillary Rodham Clinton,43.91236,48.255647178634106,4.343287178634107,DEM,5
2008,Florida,John McCain,46.662094,48.21531916597623,1.5532251659762295,REP,29
2016,Pennsylvania,Donald Trump,43.39059,48.18333631228592,4.792746312285914,REP,20
2016,Colorado,Hillary Rodham Clinton,43.61171,48.1569803828474,4.545270382847399,DEM,9
2016,Nevada,Hillary Rodham Clinton,44.86731,47.91782367811904,3.0505136781190387,DEM,6
2004,Nevada,John Kerry,45.214341,47.87804051895702,2.6636995189570243,DEM,6
2020,Florida,Joseph R. Biden Jr.,49.08035,47.861451,-1.2188990000000004,DEM,29
2020,Michigan,Donald Trump,43.23326,47.837291,4.604030999999999,REP,16
2016,Maine,Hillary Rodham Clinton,45.90823,47.830202680208096,1.9219726802080928,DEM,4
2016,Florida,Hillary Rodham Clinton,46.38264,47.82331580580505,1.44067580580505,DEM,29
2004,Michigan,George W. Bush,45.05222,47.812058557810175,2.759838557810177,REP,16
2012,Ohio,Mitt Romney,47.191528,47.68844087842257,0.49691287842257026,REP,18
2020,Nevada,Donald Trump,44.36094,47.666247,3.305306999999999,REP,6
2004,Minnesota,George W. Bush,45.232289,47.613533791521455,2.3812447915214534,REP,10
2016,Pennsylvania,Hillary Rodham Clinton,46.48753,47.46494918966543,0.977419189665433,DEM,20
2016,Michigan,Donald Trump,42.54227,47.43857346087157,4.8963034608715645,REP,16
2012,Virginia,Mitt Romney,47.312146,47.28310289638912,-0.02904310361088136,REP,13
2008,Montana,Barack Obama,45.23438,47.24985825062921,2.015478250629208,DEM,3
